source_identity_reference	decision_reference	status	artifact_path	expected_sha256	observed_sha256	retrieval_reference	artifact_size_bytes	creates_source_truth	creates_source_audit_admission
ERIC:EJ1413583	screening-decision:85ae7f22ea34f44af70a085a4f5e5996e0fb751c62f9f2d71b33f079ffd130d1	verified	/home/c/Documents/code/dashi_agda-esd-ledger-check/.round1-retrieval/cache/0d/0dcd7e0417649e76d5599bf5ab1b1f67c9ccca996c1b05567b88408d8b909a85.pdf	0dcd7e0417649e76d5599bf5ab1b1f67c9ccca996c1b05567b88408d8b909a85	0dcd7e0417649e76d5599bf5ab1b1f67c9ccca996c1b05567b88408d8b909a85	http-retrieval:0dcd7e0417649e76d5599bf5ab1b1f67c9ccca996c1b05567b88408d8b909a85	245188	False	False
ERIC:EJ1437235	screening-decision:62eeda839761d524f8d557563f067c364c09a5a53d490ddd0e239ad49cb75532	verified	/home/c/Documents/code/dashi_agda-esd-ledger-check/.round1-retrieval/cache/c4/c44c2e54741cdaa995c3ec8873902fef018f003589776ff325ddde9483c9ab6d.pdf	c44c2e54741cdaa995c3ec8873902fef018f003589776ff325ddde9483c9ab6d	c44c2e54741cdaa995c3ec8873902fef018f003589776ff325ddde9483c9ab6d	http-retrieval:c44c2e54741cdaa995c3ec8873902fef018f003589776ff325ddde9483c9ab6d	340624	False	False
ERIC:EJ1493462	screening-decision:38299e92135230b904c3ff6c1ba89a237fe2e852f98d17d11ed71974a3df1e54	pending						False	False
ERIC:EJ1496359	screening-decision:413b6f1be8efad095568bfeb647a1cc890afccfb7dbb5dc69856a41b5796d6ca	pending						False	False
ERIC:EJ1503684	screening-decision:991b68d145dd411471ddd9b776fb28e6da13a76014d994881b7adae385ef449b	pending						False	False
ERIC:EJ394218	screening-decision:c3c89a9c1568d1d141e61200ff1bd971bec55e76e8d9b45f14904407818fb344	pending						False	False
ERIC:EJ664861	screening-decision:7b345ddb1c8e338a5b4532bc5718490f908b892597a17675c05a6e8e303099b6	pending						False	False
ERIC:EJ799047	screening-decision:4e1ade2f546574a626e285fdb78c90a10013720190345b83814c5e3237c8780d	pending						False	False
ERIC:EJ801600	screening-decision:7b5fb8028f940ed1b76268522195202b2ada8212979bef769cf914b3d573f54a	pending						False	False
ERIC:EJ901403	screening-decision:929e0e294007c41e5ba195ee7f5888e8ac57ab97832e59a9c76885e5750c395f	pending						False	False
ERIC:EJ947330	screening-decision:abe7311973096d5f795699d8ece4e30a97a531616c751ce82df0746986267266	pending						False	False
ERIC:EJ985927	screening-decision:cd67d75760cead25485d39ff702d3c4768c37f3325137387c30aba3954078e50	pending						False	False
